industry_code,industry_name,tradable_goods_input_exposure,goods_supply_chain_input_exposure,tradable_goods_downstream_exposure,goods_supply_chain_downstream_exposure,direct_tariff_max,output_2025
334,Computer and electronic products,0.6902351566059785,0.7230421776254523,0.39060923609084935,0.5358507545584611,0.1148124906195321,366807
327,Nonmetallic mineral products,0.6660327595780113,0.7700305385896712,0.28372534032528035,0.2861296283754366,0.2312621905166777,134923
323,Printing and related support activities,0.6602512360004028,0.7268186863081415,0.01779690589740607,0.17861527923177337,0.0,81099
339,Miscellaneous manufacturing,0.655770964833182,0.7062138651673462,0.1512223160239254,0.1654123183589891,0.0431038286996878,166469
211,Oil and gas extraction,0.6035332728161436,0.6590671042524955,0.8931022622854884,0.9471491712139957,0.0,304780
331,Primary metals,0.6030549753133302,0.6428444265096838,0.9402224395765282,0.9452021087468704,0.0827495840610918,235798
315AL,Apparel and leather and allied products,0.5295643153526964,0.5557572614107873,0.3523801112779299,0.38898701757484766,0.0,17316
212,"Mining, except oil and gas",0.5222951561792659,0.6199637845178805,0.4900692481765294,0.5694667016306829,0.0,103282
624,Social assistance,0.4087351903950541,0.44741847287712383,0.0,0.0,0.0,246728
213,Support activities for mining,0.3801641870665633,0.4011321202062703,0.9987795575896262,0.9987795575896262,0.0,135350
482,Rail transportation,0.35919919298517794,0.39854116551563473,0.0002772387025228722,0.6559467701691156,0.0,86225
722,Food services and drinking places,0.3579880526599774,0.41908088568849877,0.01953506211246298,0.11072425475698365,0.0,852004
562,Waste management and remediation services,0.3147555170921671,0.3766767633059269,0.052865404611114455,0.08875063374895807,0.0,126170
22,Utilities,0.30582383619857,0.5375646556349658,0.24916866826102518,0.40448115042824606,0.0,487132
621,Ambulatory health care services,0.2944566012136819,0.32475643201609,0.0,0.0,0.0,1160606
481,Air transportation,0.2882413521536316,0.5279502635245649,0.042125528051751356,0.19404020036313538,0.0,247637
487OS,Other transportation and support activities,0.2610622406638996,0.5631867219917002,0.0228782343814607,0.7394931205972392,0.0,264172
81,"Other services, except government",0.24092741598219997,0.27700697569380417,0.07027894797614657,0.19930495804047335,0.0,761764
484,Truck transportation,0.23517203971417056,0.6026979223168163,0.0675131184407796,0.5493815592203898,0.0,408849
483,Water transportation,0.22685889381213717,0.3465820161805869,0.0,0.0008328128253175099,0.0,60588
713,"Amusements, gambling, and recreation industries",0.22342406592971079,0.2853388274759948,0.027419797093501508,0.10145324924595558,0.0,159784
622,Hospitals,0.2207769189109342,0.26053370095022294,0.0,0.0,0.0,928014
721,Accommodation,0.21919992832504503,0.2861712135465651,0.03761851611083173,0.09890959045247703,0.0,279649
493,Warehousing and storage,0.21424278358051305,0.48662302431734294,0.1520789946140036,0.47127468581687615,0.0,134781
623,Nursing and residential care facilities,0.2040430610356075,0.25229675093769693,0.0,0.0,0.0,258140
5412OP,"Miscellaneous professional, scientific, and technical services",0.18771583830621275,0.231630068643587,0.06226121710632575,0.18729168440867003,0.0,1566725
561,Administrative and support services,0.17079856092337148,0.22679172425434818,0.058498038518074655,0.19108194115450194,0.0,1077705
61,Educational services,0.1669368627138302,0.23566410644838212,0.0012687480175812226,0.0885404866554896,0.0,382175
485,Transit and ground passenger transportation,0.16028253192067315,0.19932989223942682,0.026971657651549765,0.07322141814912526,0.0,108355
486,Pipeline transportation,0.1561012167166279,0.3090283900546629,1.0,1.0,0.0,61509
445,Food and beverage stores,0.15105453163594815,0.3581607448223433,0.0,0.0,0.0,238971
5415,Computer systems design and related services,0.15017690911702058,0.19591868708628635,0.07185137088159521,0.1797331545985799,0.0,526087
513,Broadcasting and telecommunications,0.14566063314977012,0.1709550251134616,0.033373015873015874,0.09195861678004535,0.0,853849
42,Wholesale trade,0.13845142954827028,0.3106019488012293,0.2855339974181615,0.6930309627945511,0.0,1965921
452,General merchandise stores,0.13667754600066154,0.29922898632987943,0.0,0.0,0.0,203636
441,Motor vehicle and parts dealers,0.12692260366678876,0.28765666473307555,0.0,0.0,0.0,321197
514,"Data processing, internet publishing, and other information services",0.1261793191132764,0.1867309442740104,0.05637909021847643,0.10198350986186626,0.0,479693
532RL,Rental and leasing services and lessors of intangible assets,0.0968210965849772,0.22961301386886607,0.13201393809389772,0.41118994697182937,0.0,388931
4A0,Other retail,0.09660249666288731,0.26919048977058285,0.0,0.0,0.0,992714
511,"Publishing industries, except internet (includes software)",0.08117080135641548,0.10888452614670609,0.007261714440116187,0.05916327036094661,0.0,417087
55,Management of companies and enterprises,0.06986976805890213,0.10039578128109215,0.23376113191296316,0.43082516691705597,0.0,630003
711AS,"Performing arts, spectator sports, museums, and related activities",0.05790760059612429,0.08419672131147408,0.007650485796585994,0.044374670038067186,0.0,218634
ORE,Other real estate,0.04932537127993828,0.11291510027848108,0.03320790648140729,0.13191056705020782,0.0,1435601
512,Motion picture and sound recording industries,0.04125212327105007,0.0710737046450138,0.0,0.0012620050908001969,0.0,164470
5411,Legal services,0.03612162596798485,0.06923723991192174,0.10717064400849242,0.23205141166696705,0.0,354406
521CI,"Federal Reserve banks, credit intermediation, and related activities",0.031799943129758465,0.06603003591250337,0.06286229301784145,0.15798648231297366,0.0,1117416
HS,Housing,0.02857454510196798,0.029281535826249653,0.0,0.0,0.0,2237915
523,"Securities, commodity contracts, and investments",0.026924000571492142,0.058043001796553695,0.07106428667292981,0.1013018386793719,0.0,606617
525,"Funds, trusts, and other financial vehicles",0.019336276805394292,0.03891975033131208,0.0,0.0,0.0,147338
524,Insurance carriers and related activities,0.016495059262909152,0.018671656947455862,0.051795608176756665,0.15363659762391796,0.0,1105642
