industry_code,year,direct_tariff_shock,w_input_share_shock,w_binary_5pct_shock,w_symmetric_shock,w_distance_5pct_shock,lag1_direct_tariff_shock,lag1_w_input_share_shock,lag1_w_binary_5pct_shock,lag1_w_symmetric_shock,lag1_w_distance_5pct_shock,direct_tariff_shock_cum01,w_input_share_shock_cum01,w_binary_5pct_shock_cum01,w_symmetric_shock_cum01,w_distance_5pct_shock_cum01
483,2019,0,0.04793855543863637,0.04000000000000001,0.04761523323449655,0.03023080630102388,0,0.010437587095358677,0.006666666666666667,0.010367190654859079,0.008979248013972624,0,0.05837614253399505,0.046666666666666676,0.05798242388935562,0.0392100543149965
483,2020,0,0.058742731391944865,0.05,0.0583465402840349,0.036451842177328525,0,0.04793855543863637,0.04000000000000001,0.04761523323449655,0.03023080630102388,0,0.10668128683058123,0.09000000000000001,0.10596177351853145,0.0666826484783524
483,2021,0,0.058742731391944865,0.05,0.0583465402840349,0.036451842177328525,0,0.058742731391944865,0.05,0.0583465402840349,0.036451842177328525,0,0.11748546278388973,0.1,0.1166930805680698,0.07290368435465705
483,2022,0,0.058742731391944865,0.05,0.0583465402840349,0.036451842177328525,0,0.058742731391944865,0.05,0.0583465402840349,0.036451842177328525,0,0.11748546278388973,0.1,0.1166930805680698,0.07290368435465705
483,2023,0,0.058742731391944865,0.05,0.0583465402840349,0.036451842177328525,0,0.058742731391944865,0.05,0.0583465402840349,0.036451842177328525,0,0.11748546278388973,0.1,0.1166930805680698,0.07290368435465705
483,2024,0,0.058742731391944865,0.05,0.0583465402840349,0.036451842177328525,0,0.058742731391944865,0.05,0.0583465402840349,0.036451842177328525,0,0.11748546278388973,0.1,0.1166930805680698,0.07290368435465705
483,2025,0,0.058742731391944865,0.05,0.0583465402840349,0.036451842177328525,0,0.058742731391944865,0.05,0.0583465402840349,0.036451842177328525,0,0.11748546278388973,0.1,0.1166930805680698,0.07290368435465705
484,2016,0,0,0,0,0,NA,NA,NA,NA,NA,0,0,0,0,0
484,2017,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
484,2018,0,0.011312806969566769,0.008333333333333333,0.010265849639399909,0.00976298934592975,0,0,0,0,0,0,0.011312806969566769,0.008333333333333333,0.010265849639399909,0.00976298934592975
484,2019,0,0.04985277077213034,0.05,0.044507692577234644,0.033618768253468004,0,0.011312806969566769,0.008333333333333333,0.010265849639399909,0.00976298934592975,0,0.06116557774169711,0.058333333333333334,0.05477354221663455,0.043381757599397754
484,2020,0,0.06017326218752773,0.0625,0.05375415579499641,0.040581198163159436,0,0.04985277077213034,0.05,0.044507692577234644,0.033618768253468004,0,0.11002603295965807,0.1125,0.09826184837223105,0.07419996641662743
484,2021,0,0.06017326218752773,0.0625,0.05375415579499641,0.040581198163159436,0,0.06017326218752773,0.0625,0.05375415579499641,0.040581198163159436,0,0.12034652437505546,0.125,0.10750831158999281,0.08116239632631887
484,2022,0,0.06017326218752773,0.0625,0.05375415579499641,0.040581198163159436,0,0.06017326218752773,0.0625,0.05375415579499641,0.040581198163159436,0,0.12034652437505546,0.125,0.10750831158999281,0.08116239632631887
484,2023,0,0.06017326218752773,0.0625,0.05375415579499641,0.040581198163159436,0,0.06017326218752773,0.0625,0.05375415579499641,0.040581198163159436,0,0.12034652437505546,0.125,0.10750831158999281,0.08116239632631887
484,2024,0,0.06017326218752773,0.0625,0.05375415579499641,0.040581198163159436,0,0.06017326218752773,0.0625,0.05375415579499641,0.040581198163159436,0,0.12034652437505546,0.125,0.10750831158999281,0.08116239632631887
484,2025,0,0.06017326218752773,0.0625,0.05375415579499641,0.040581198163159436,0,0.06017326218752773,0.0625,0.05375415579499641,0.040581198163159436,0,0.12034652437505546,0.125,0.10750831158999281,0.08116239632631887
485,2016,0,0,0,0,0,NA,NA,NA,NA,NA,0,0,0,0,0
485,2017,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
485,2018,0,0.006785063846967389,0.006666666666666667,0.005979208020426166,0.008495068651653153,0,0,0,0,0,0,0.006785063846967389,0.006666666666666667,0.005979208020426166,0.008495068651653153
485,2019,0,0.028692037299698284,0.04000000000000001,0.02499312798464597,0.029252694454316282,0,0.006785063846967389,0.006666666666666667,0.005979208020426166,0.008495068651653153,0,0.03547710114666567,0.046666666666666676,0.030972336005072133,0.03774776310596943
485,2020,0,0.03524727124284004,0.05,0.030696782313843218,0.035310912687424416,0,0.028692037299698284,0.04000000000000001,0.02499312798464597,0.029252694454316282,0,0.06393930854253832,0.09000000000000001,0.05568991029848919,0.0645636071417407
485,2021,0,0.03524727124284004,0.05,0.030696782313843218,0.035310912687424416,0,0.03524727124284004,0.05,0.030696782313843218,0.035310912687424416,0,0.07049454248568009,0.1,0.061393564627686435,0.07062182537484883
485,2022,0,0.03524727124284004,0.05,0.030696782313843218,0.035310912687424416,0,0.03524727124284004,0.05,0.030696782313843218,0.035310912687424416,0,0.07049454248568009,0.1,0.061393564627686435,0.07062182537484883
485,2023,0,0.03524727124284004,0.05,0.030696782313843218,0.035310912687424416,0,0.03524727124284004,0.05,0.030696782313843218,0.035310912687424416,0,0.07049454248568009,0.1,0.061393564627686435,0.07062182537484883
485,2024,0,0.03524727124284004,0.05,0.030696782313843218,0.035310912687424416,0,0.03524727124284004,0.05,0.030696782313843218,0.035310912687424416,0,0.07049454248568009,0.1,0.061393564627686435,0.07062182537484883
485,2025,0,0.03524727124284004,0.05,0.030696782313843218,0.035310912687424416,0,0.03524727124284004,0.05,0.030696782313843218,0.035310912687424416,0,0.07049454248568009,0.1,0.061393564627686435,0.07062182537484883
486,2016,0,0,0,0,0,NA,NA,NA,NA,NA,0,0,0,0,0
486,2017,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
486,2018,0,0.007098315882323349,0.0068376791249312105,0.007079444980538312,0.010973636644811786,0,0,0,0,0,0,0.007098315882323349,0.0068376791249312105,0.007079444980538312,0.010973636644811786
486,2019,0,0.026393356324993435,0.024618561209881352,0.026323189479329833,0.03436880034693844,0,0.007098315882323349,0.0068376791249312105,0.007079444980538312,0.010973636644811786,0,0.03349167220731678,0.03145624033481256,0.033402634459868144,0.045342436991750223
486,2020,0,0.03177133502252176,0.029484609397509288,0.031686870798510174,0.04107325179540293,0,0.026393356324993435,0.024618561209881352,0.026323189479329833,0.03436880034693844,0,0.058164691347515195,0.054103170607390644,0.05801006027784,0.07544205214234137
486,2021,0,0.03177133502252176,0.029484609397509288,0.031686870798510174,0.04107325179540293,0,0.03177133502252176,0.029484609397509288,0.031686870798510174,0.04107325179540293,0,0.06354267004504352,0.058969218795018576,0.06337374159702035,0.08214650359080586
486,2022,0,0.03177133502252176,0.029484609397509288,0.031686870798510174,0.04107325179540293,0,0.03177133502252176,0.029484609397509288,0.031686870798510174,0.04107325179540293,0,0.06354267004504352,0.058969218795018576,0.06337374159702035,0.08214650359080586
486,2023,0,0.03177133502252176,0.029484609397509288,0.031686870798510174,0.04107325179540293,0,0.03177133502252176,0.029484609397509288,0.031686870798510174,0.04107325179540293,0,0.06354267004504352,0.058969218795018576,0.06337374159702035,0.08214650359080586
486,2024,0,0.03177133502252176,0.029484609397509288,0.031686870798510174,0.04107325179540293,0,0.03177133502252176,0.029484609397509288,0.031686870798510174,0.04107325179540293,0,0.06354267004504352,0.058969218795018576,0.06337374159702035,0.08214650359080586
486,2025,0,0.03177133502252176,0.029484609397509288,0.031686870798510174,0.04107325179540293,0,0.03177133502252176,0.029484609397509288,0.031686870798510174,0.04107325179540293,0,0.06354267004504352,0.058969218795018576,0.06337374159702035,0.08214650359080586
487OS,2016,0,0,0,0,0,NA,NA,NA,NA,NA,0,0,0,0,0
487OS,2017,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
487OS,2018,0,0.014962949956199153,0.008333333333333333,0.0062710417728006965,0.008531552093200128,0,0,0,0,0,0,0.014962949956199153,0.008333333333333333,0.0062710417728006965,0.008531552093200128
487OS,2019,0,0.06126215563450415,0.05,0.025886777537638968,0.02872275160346487,0,0.014962949956199153,0.008333333333333333,0.0062710417728006965,0.008531552093200128,0,0.07622510559070331,0.058333333333333334,0.032157819310439664,0.037254303696665
487OS,2020,0,0.0743892327792191,0.0625,0.03153461711032384,0.03464684728929128,0,0.06126215563450415,0.05,0.025886777537638968,0.02872275160346487,0,0.13565138841372326,0.1125,0.05742139464796281,0.06336959889275615
487OS,2021,0,0.0743892327792191,0.0625,0.03153461711032384,0.03464684728929128,0,0.0743892327792191,0.0625,0.03153461711032384,0.03464684728929128,0,0.1487784655584382,0.125,0.06306923422064768,0.06929369457858256
487OS,2022,0,0.0743892327792191,0.0625,0.03153461711032384,0.03464684728929128,0,0.0743892327792191,0.0625,0.03153461711032384,0.03464684728929128,0,0.1487784655584382,0.125,0.06306923422064768,0.06929369457858256
487OS,2023,0,0.0743892327792191,0.0625,0.03153461711032384,0.03464684728929128,0,0.0743892327792191,0.0625,0.03153461711032384,0.03464684728929128,0,0.1487784655584382,0.125,0.06306923422064768,0.06929369457858256
487OS,2024,0,0.0743892327792191,0.0625,0.03153461711032384,0.03464684728929128,0,0.0743892327792191,0.0625,0.03153461711032384,0.03464684728929128,0,0.1487784655584382,0.125,0.06306923422064768,0.06929369457858256
487OS,2025,0,0.0743892327792191,0.0625,0.03153461711032384,0.03464684728929128,0,0.0743892327792191,0.0625,0.03153461711032384,0.03464684728929128,0,0.1487784655584382,0.125,0.06306923422064768,0.06929369457858256
493,2016,0,0,0,0,0,NA,NA,NA,NA,NA,0,0,0,0,0
493,2017,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
493,2018,0,0.011917766527725304,0.006666666666666667,0.009013102360734276,0.008634636638276133,0,0,0,0,0,0,0.011917766527725304,0.006666666666666667,0.009013102360734276,0.008634636638276133
493,2019,0,0.044177917180729706,0.04000000000000001,0.03366185682461178,0.029253341233371817,0,0.011917766527725304,0.006666666666666667,0.009013102360734276,0.008634636638276133,0,0.05609568370845501,0.046666666666666676,0.042674959185346056,0.03788797787164795
493,2020,0,0.052394740728135804,0.05,0.04035588049693583,0.03514888125849975,0,0.044177917180729706,0.04000000000000001,0.03366185682461178,0.029253341233371817,0,0.09657265790886552,0.09000000000000001,0.07401773732154761,0.06440222249187157
493,2021,0,0.052394740728135804,0.05,0.04035588049693583,0.03514888125849975,0,0.052394740728135804,0.05,0.04035588049693583,0.03514888125849975,0,0.10478948145627161,0.1,0.08071176099387166,0.0702977625169995
493,2022,0,0.052394740728135804,0.05,0.04035588049693583,0.03514888125849975,0,0.052394740728135804,0.05,0.04035588049693583,0.03514888125849975,0,0.10478948145627161,0.1,0.08071176099387166,0.0702977625169995
493,2023,0,0.052394740728135804,0.05,0.04035588049693583,0.03514888125849975,0,0.052394740728135804,0.05,0.04035588049693583,0.03514888125849975,0,0.10478948145627161,0.1,0.08071176099387166,0.0702977625169995
493,2024,0,0.052394740728135804,0.05,0.04035588049693583,0.03514888125849975,0,0.052394740728135804,0.05,0.04035588049693583,0.03514888125849975,0,0.10478948145627161,0.1,0.08071176099387166,0.0702977625169995
493,2025,0,0.052394740728135804,0.05,0.04035588049693583,0.03514888125849975,0,0.052394740728135804,0.05,0.04035588049693583,0.03514888125849975,0,0.10478948145627161,0.1,0.08071176099387166,0.0702977625169995
4A0,2016,0,0,0,0,0,NA,NA,NA,NA,NA,0,0,0,0,0
4A0,2017,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4A0,2018,0,0.00336274546737952,0,0.0033311739439854725,0.00890465887197566,0,0,0,0,0,0,0.00336274546737952,0,0.0033311739439854725,0.00890465887197566
4A0,2019,0,0.010226755596272832,0,0.01013074052267152,0.027910891299777384,0,0.00336274546737952,0,0.0033311739439854725,0.00890465887197566,0,0.013589501063652351,0,0.013461914466656993,0.036815550171753045
4A0,2020,0,0.011983329500078676,0,0.011870822629927384,0.03341402279118946,0,0.010226755596272832,0,0.01013074052267152,0.027910891299777384,0,0.022210085096351508,0,0.022001563152598904,0.061324914090966846
4A0,2021,0,0.011983329500078676,0,0.011870822629927384,0.03341402279118946,0,0.011983329500078676,0,0.011870822629927384,0.03341402279118946,0,0.02396665900015735,0,0.02374164525985477,0.06682804558237893
4A0,2022,0,0.011983329500078676,0,0.011870822629927384,0.03341402279118946,0,0.011983329500078676,0,0.011870822629927384,0.03341402279118946,0,0.02396665900015735,0,0.02374164525985477,0.06682804558237893
4A0,2023,0,0.011983329500078676,0,0.011870822629927384,0.03341402279118946,0,0.011983329500078676,0,0.011870822629927384,0.03341402279118946,0,0.02396665900015735,0,0.02374164525985477,0.06682804558237893
4A0,2024,0,0.011983329500078676,0,0.011870822629927384,0.03341402279118946,0,0.011983329500078676,0,0.011870822629927384,0.03341402279118946,0,0.02396665900015735,0,0.02374164525985477,0.06682804558237893
4A0,2025,0,0.011983329500078676,0,0.011870822629927384,0.03341402279118946,0,0.011983329500078676,0,0.011870822629927384,0.03341402279118946,0,0.02396665900015735,0,0.02374164525985477,0.06682804558237893
511,2016,0,0,0,0,0,NA,NA,NA,NA,NA,0,0,0,0,0
511,2017,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
511,2018,0,0.0029532031488218617,0,0.0026693050732458715,0.008608237421005593,0,0,0,0,0,0,0.0029532031488218617,0,0.0026693050732458715,0.008608237421005593
511,2019,0,0.009430581379198564,0,0.008479309638804281,0.02658347771802532,0,0.0029532031488218617,0,0.0026693050732458715,0.008608237421005593,0,0.012383784528020424,0,0.011148614712050153,0.03519171513903091
511,2020,0,0.011362147658737816,0,0.010199203895161029,0.0318123354229603,0,0.009430581379198564,0,0.008479309638804281,0.02658347771802532,0,0.02079272903793638,0,0.01867851353396531,0.058395813140985624
511,2021,0,0.011362147658737816,0,0.010199203895161029,0.0318123354229603,0,0.011362147658737816,0,0.010199203895161029,0.0318123354229603,0,0.02272429531747563,0,0.020398407790322058,0.0636246708459206
511,2022,0,0.011362147658737816,0,0.010199203895161029,0.0318123354229603,0,0.011362147658737816,0,0.010199203895161029,0.0318123354229603,0,0.02272429531747563,0,0.020398407790322058,0.0636246708459206
511,2023,0,0.011362147658737816,0,0.010199203895161029,0.0318123354229603,0,0.011362147658737816,0,0.010199203895161029,0.0318123354229603,0,0.02272429531747563,0,0.020398407790322058,0.0636246708459206
511,2024,0,0.011362147658737816,0,0.010199203895161029,0.0318123354229603,0,0.011362147658737816,0,0.010199203895161029,0.0318123354229603,0,0.02272429531747563,0,0.020398407790322058,0.0636246708459206
511,2025,0,0.011362147658737816,0,0.010199203895161029,0.0318123354229603,0,0.011362147658737816,0,0.010199203895161029,0.0318123354229603,0,0.02272429531747563,0,0.020398407790322058,0.0636246708459206
512,2016,0,0,0,0,0,NA,NA,NA,NA,NA,0,0,0,0,0
512,2017,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
512,2018,0,0.001617704103087589,0,0.0012126592243131738,0.009001756845965846,0,0,0,0,0,0,0.001617704103087589,0,0.0012126592243131738,0.009001756845965846
512,2019,0,0.004902080562170215,0,0.0036746851298059403,0.027798722413706484,0,0.001617704103087589,0,0.0012126592243131738,0.009001756845965846,0,0.006519784665257804,0,0.004887344354119114,0.03680047925967233
512,2020,0,0.005647855158726371,0,0.0042337307810138185,0.0332666136137242,0,0.004902080562170215,0,0.0036746851298059403,0.027798722413706484,0,0.010549935720896585,0,0.007908415910819758,0.06106533602743068
512,2021,0,0.005647855158726371,0,0.0042337307810138185,0.0332666136137242,0,0.005647855158726371,0,0.0042337307810138185,0.0332666136137242,0,0.011295710317452742,0,0.008467461562027637,0.0665332272274484
512,2022,0,0.005647855158726371,0,0.0042337307810138185,0.0332666136137242,0,0.005647855158726371,0,0.0042337307810138185,0.0332666136137242,0,0.011295710317452742,0,0.008467461562027637,0.0665332272274484
512,2023,0,0.005647855158726371,0,0.0042337307810138185,0.0332666136137242,0,0.005647855158726371,0,0.0042337307810138185,0.0332666136137242,0,0.011295710317452742,0,0.008467461562027637,0.0665332272274484
512,2024,0,0.005647855158726371,0,0.0042337307810138185,0.0332666136137242,0,0.005647855158726371,0,0.0042337307810138185,0.0332666136137242,0,0.011295710317452742,0,0.008467461562027637,0.0665332272274484
512,2025,0,0.005647855158726371,0,0.0042337307810138185,0.0332666136137242,0,0.005647855158726371,0,0.0042337307810138185,0.0332666136137242,0,0.011295710317452742,0,0.008467461562027637,0.0665332272274484
513,2016,0,0,0,0,0,NA,NA,NA,NA,NA,0,0,0,0,0
513,2017,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
513,2018,0,0.007195043460858564,0.005578687225301801,0.005070438623609165,0.009723878650983678,0,0,0,0,0,0,0.007195043460858564,0.005578687225301801,0.005070438623609165,0.009723878650983678
