area_fips,own_code,naics_code,agglvl_code,year,annual_avg_estabs,annual_avg_emplvl,total_annual_wages,annual_avg_wkly_wage,avg_annual_pay,tariff_301_direct,targeted_import_share_2017_china,china_import_value_2017,n_hs8_total,n_hs8_targeted,pce_price_index_2017_100,has_301_import_weight,naics_fe,ln_avg_annual_pay,dln_avg_annual_pay,ln_avg_weekly_wage,dln_avg_weekly_wage,real_annual_pay_pce,ln_real_annual_pay_pce,dln_real_annual_pay_pce,real_weekly_wage_pce,ln_real_weekly_wage_pce,dln_real_weekly_wage_pce,lag1_tariff_301_direct,lag2_tariff_301_direct,tariff_301_direct_cum01,tariff_301_direct_cum02,d_tariff_301_direct
US000,5,541890,18,2018,8342,96486,3509110813,699,36369,0,0,0,0,0,102.047,0,541890,10.501472042414694,0.07095092726836683,6.54965074223381,0.07114110002524132,35639.46024870893,10.48120873693328,0.05068928845222942,684.9784903034877,6.529387436752397,0.05087946120910569,0,0,0,0,0
US000,5,541890,18,2019,8334,97720,3619985086,712,37044,0,0,0,0,0,103.50875,0,541890,10.51986167429016,0.018389631875466605,6.568077911411976,0.01842716917816567,35788.27876870312,10.485375710083419,0.004166973150139697,687.8645525136762,6.5335919472052355,0.004204510452838761,0,0,0,0,0
US000,5,541890,18,2020,8411,73497,3407646970,892,46365,0,0,0,0,0,104.66641666666668,0,541890,10.744300143234327,0.2244384689441663,6.79346613258001,0.2253882211680338,44297.87650766681,10.69869202052016,0.21331631043674015,852.231334947456,6.747858009865841,0.21426606266060588,0,0,0,0,0
US000,5,541890,18,2021,8806,75803,3806914664,966,50221,0,0,0,0,0,108.97258333333332,0,541890,10.824188544898831,0.07988840166450473,6.873163834212518,0.079697701632508,46085.903870316004,10.738262409348504,0.03957038882834496,886.4615029315478,6.7872376986621905,0.03937968879634912,0,0,0,0,0
US000,5,541890,18,2022,9620,82236,4420483423,1034,53754,0,0,0,0,0,116.10041666666666,0,541890,10.892173361825634,0.0679848169268027,6.9411900550683745,0.06802622085585686,46299.575439364635,10.742888070256141,0.0046256609076369415,890.6083455055071,6.791904763498882,0.004667064836691104,0,0,0,0,0
US000,5,541890,18,2023,10282,90200,4811293156,1026,53340,0,0,0,0,0,120.51066666666668,0,541890,10.884441797736006,-0.007731564089628051,6.933423025730715,-0.007767029337659714,44261.6421229656,10.697873714655731,-0.04501435560040967,851.3769182257724,6.74685494265044,-0.045049820848441335,0,0,0,0,0
US000,5,541890,18,2024,10375,92928,4995994780,1034,53762,0,0,0,0,0,123.66608333333332,0,541890,10.892322176885992,0.007880379149986183,6.9411900550683745,0.007767029337659714,43473.520427657015,10.679907305927015,-0.017966408728716132,836.1225423570058,6.728775184109398,-0.0180797585410426,0,0,0,0,0
US000,5,541890,18,2025,10524,94955,5198619025,1053,54748,0,0,0,0,0,126.91908333333332,0,541890,10.910496117331157,0.018173940445164405,6.959398512133975,0.018208457065600925,43136.145142344634,10.672116559027646,-0.007790746899368983,829.6624686726254,6.721018953830464,-0.0077562302789333515,0,0,0,0,0
US000,5,541910,18,2016,8248,97816,7376453607,1450,75412,0,0,0,0,0,98.28433333333334,0,541910,11.230721692526474,NA,7.27931883541462,NA,76728.40364520624,11.24802724012284,NA,1475.311426371785,7.296624383010985,NA,NA,NA,0,0,NA
US000,5,541910,18,2017,8208,91588,7318435145,1537,79906,0,0,0,0,0,100.00016666666666,0,541910,11.288606222802297,0.057884530275822854,7.337587743538596,0.058268908123976004,79905.86682355529,11.288604556137019,0.04057731601417913,1536.9974383376027,7.337586076873318,0.04096169386233317,0,NA,0,0,0
US000,5,541910,18,2018,8308,91987,7759366839,1622,84353,0,0,0,0,0,102.047,0,541910,11.342765653435313,0.05415943063301576,7.3914152346753585,0.05382749113676244,82660.93074759669,11.3225023479539,0.033897791816881906,1589.4636785010828,7.371151929193944,0.03356585232062592,0,0,0,0,0
US000,5,541910,18,2019,8312,87683,8348862725,1831,95216,0,0,0,0,0,103.50875,0,541910,11.463903273884632,0.12113762044931953,7.5126175446745105,0.12120230999915194,91988.35847210983,11.429417309677893,0.10691496172399262,1768.9325781636815,7.47813158046777,0.10697965127382592,0,0,0,0,0
US000,5,541910,18,2020,8345,79298,8185115143,1985,103219,0,0,0,0,0,104.66641666666668,0,541910,11.544608223610837,0.08070494972620423,7.59337419312129,0.08075664844677988,98617.1145313245,11.499000100896668,0.06958279121877453,1896.501345146525,7.547766070407123,0.06963448993935284,0,0,0,0,0
US000,5,541910,18,2021,8955,77164,9081021271,2263,117685,0,0,0,0,0,108.97258333333332,0,541910,11.675766842476056,0.13115861886521962,7.724446645633537,0.13107245251224686,107995.05380175902,11.58984070692573,0.09084060602906163,2076.6691316087918,7.63852051008321,0.0907544396760871,0,0,0,0,0
US000,5,541910,18,2022,9932,78002,8420910401,2076,107958,0,0,0,0,0,116.10041666666666,0,541910,11.589497541580574,-0.08626930089548246,7.638198244285779,-0.08624840134775802,92986.74638692799,11.440212250011081,-0.1496284569146482,1788.1072778234359,7.488912952716286,-0.14960755736692377,0,0,0,0,0
US000,5,541910,18,2023,10522,74127,8072333035,2094,108899,0,0,0,0,0,120.51066666666668,0,541910,11.598176126142436,0.008678584561861769,7.646831391430482,0.008633147144703202,90364.61502716217,11.41160804306216,-0.02860420694892163,1737.6055231625414,7.460263308350208,-0.02864964436607842,0,0,0,0,0
US000,5,541910,18,2024,10685,70690,8069771700,2195,114157,0,0,0,0,0,123.66608333333332,0,541910,11.645329972898624,0.0471538467561885,7.693937325509272,0.0471059340787896,92310.67801532758,11.432915101939647,0.02130705887748796,1774.9409869184021,7.481522454550295,0.021259146200087287,0,0,0,0,0
US000,5,541910,18,2025,10488,63544,7661383429,2319,120567,0,0,0,0,0,126.91908333333332,0,541910,11.699960893990403,0.05463092109177836,7.7488913372555315,0.05495401174625947,94995.17080764714,11.461581335686892,0.028666233747244974,1827.1483996693432,7.51051177895202,0.02898932440172519,0,0,0,0,0
US000,5,541921,18,2016,10187,44710,1138123140,490,25456,0,0,0,0,0,98.28433333333334,0,541921,10.144706750577567,NA,6.194405391104672,NA,25900.36391015184,10.162012298173934,NA,498.5535164980515,6.211710938701038,NA,NA,NA,0,0,NA
US000,5,541921,18,2017,9966,42703,1123977992,506,26321,0,0,0,0,0,100.00016666666666,0,541921,10.178122378638475,0.03341562806090792,6.226536669287466,0.03213127818279382,26320.95613173978,10.178120711973197,0.016108413799262422,505.9991566680722,6.226535002622188,0.014824063921150099,0,NA,0,0,0
US000,5,541921,18,2018,9971,40833,1120157243,528,27433,0,0,0,0,0,102.047,0,541921,10.219501947254944,0.04137956861646863,6.269096283706261,0.04255961441879563,26882.710907718993,10.199238641773531,0.021117929800334778,517.4086450361108,6.248832978224848,0.022297975602660003,0,0,0,0,0
US000,5,541921,18,2019,10128,40022,1131458172,544,28271,0,0,0,0,0,103.50875,0,541921,10.249591823249144,0.0300898759942001,6.298949246855942,0.02985296314968089,27312.666803531098,10.215105859042403,0.015867217268871414,525.5594333812357,6.264463282649202,0.01563030442435398,0,0,0,0,0
US000,5,541921,18,2020,10220,25939,811016676,601,31266,0,0,0,0,0,104.66641666666668,0,541921,10.35028652413727,0.10069470088812515,6.398594934535208,0.0996456876792653,29872.04587272103,10.304678401423102,0.089572542380699,574.2051931652703,6.352986811821039,0.08852352917183737,0,0,0,0,0
US000,5,541921,18,2021,10528,30546,1025442164,646,33571,0,0,0,0,0,108.97258333333332,0,541921,10.42141787803205,0.07113135389478131,6.470799503782602,0.07220456924739427,30806.831381899578,10.335491742481723,0.030813341058621546,592.8096593103312,6.384873368232275,0.03188655641123539,0,0,0,0,0
US000,5,541921,18,2022,11110,35352,1252888761,682,35441,0,0,0,0,0,116.10041666666666,0,541921,10.475624621025222,0.05420674299317163,6.525029657843462,0.054230154060860514,30526.160902379765,10.32633932945573,-0.009152413025994122,587.4225257589516,6.3757443662739695,-0.009129001958305238,0,0,0,0,0
US000,5,541921,18,2023,11702,36211,1297302942,689,35826,0,0,0,0,0,120.51066666666668,0,541921,10.486429165775048,0.01080454474982595,6.535241271013659,0.010211613170196365,29728.488764480044,10.299861082694774,-0.02647824676095567,571.7336224732527,6.348673187933384,-0.027071178340585256,0,0,0,0,0
US000,5,541921,18,2024,12139,36421,1320144193,697,36247,0,0,0,0,0,123.66608333333332,0,541921,10.498111898237447,0.011682732462398704,6.546785410760524,0.011544139746865412,29310.3808441145,10.28569702727847,-0.014164055416303611,563.6145183973241,6.334370539801547,-0.014302648131836904,0,0,0,0,0
US000,5,541921,18,2025,12251,35892,1325724545,710,36936,0,0,0,0,0,126.91908333333332,0,541921,10.516941964186826,0.01883006594937875,6.565264970035361,0.018479559274837243,29102.006593439786,10.278562405883314,-0.007134621395156415,559.4115410803078,6.32688541173185,-0.0074851280696970335,0,0,0,0,0
US000,5,541922,18,2016,3446,9700,516164874,1023,53213,0,0,0,0,0,98.28433333333334,0,541922,10.88205800638073,NA,6.930494765951626,NA,54141.89443553228,10.899363553977095,NA,1040.8576477091974,6.947800313547992,NA,NA,NA,0,0,NA
US000,5,541922,18,2017,3503,9670,519006056,1032,53669,0,0,0,0,0,100.00016666666666,0,541922,10.890590832614208,0.00853282623347873,6.939253946041508,0.00875918008988208,53668.910551815745,10.89058916594893,-0.008774388028164992,1031.9982800028667,6.93925227937623,-0.008548034171761643,0,NA,0,0,0
US000,5,541922,18,2018,3727,10221,536646849,1010,52506,0,0,0,0,0,102.047,0,541922,10.868682727763886,-0.02190810485032202,6.917705609835305,-0.021548336206203444,51452.76196262507,10.848419422282472,-0.04216974366645765,989.7400217546817,6.897442304353891,-0.041809975022339074,0,0,0,0,0
US000,5,541922,18,2019,3810,10720,569638348,1022,53140,0,0,0,0,0,103.50875,0,541922,10.880685219313804,0.012002491549917949,6.92951677076365,0.01181116092834511,51338.654944630274,10.846199255107065,-0.002220167175407184,987.3561413890128,6.8950308065569095,-0.0024114977969817986,0,0,0,0,0
US000,5,541922,18,2020,3928,9309,528928942,1093,56817,0,0,0,0,0,104.66641666666668,0,541922,10.947590855703845,0.06690563639004132,6.996681488176539,0.0671647174128891,54283.887620750684,10.901982732989676,0.05578347788261162,1044.2700101990688,6.951073365462371,0.05604255890546117,0,0,0,0,0
