matrix,industry_code,neighbor_code,weight,neighbor_name,industry_name
input_share,452,23,0.02411809217242995,Construction,General merchandise stores
input_share,481,23,0.002825890372843623,Construction,Air transportation
input_share,482,23,0.06343351429981559,Construction,Rail transportation
input_share,483,23,0.001564180271776318,Construction,Water transportation
input_share,484,23,0.002719984486392417,Construction,Truck transportation
input_share,485,23,0.010406777185423204,Construction,Transit and ground passenger transportation
input_share,486,23,0.05240114926802573,Construction,Pipeline transportation
input_share,487OS,23,0.014331788861633504,Construction,Other transportation and support activities
input_share,493,23,0.016825939835644958,Construction,Warehousing and storage
input_share,4A0,23,0.009259531510340093,Construction,Other retail
input_share,511,23,0.00147000562980879,Construction,"Publishing industries, except internet (includes software)"
input_share,512,23,0.0017413291350603496,Construction,Motion picture and sound recording industries
input_share,513,23,0.008160079957830458,Construction,Broadcasting and telecommunications
input_share,514,23,0.005263801528097525,Construction,"Data processing, internet publishing, and other information services"
input_share,521CI,23,0.02183235026652434,Construction,"Federal Reserve banks, credit intermediation, and related activities"
input_share,523,23,0.0071148785730068475,Construction,"Securities, commodity contracts, and investments"
input_share,524,23,0.005807619885867611,Construction,Insurance carriers and related activities
input_share,525,23,7.200693617834115e-4,Construction,"Funds, trusts, and other financial vehicles"
input_share,532RL,23,0.006528612293500127,Construction,Rental and leasing services and lessors of intangible assets
input_share,5411,23,0.0025251544229050863,Construction,Legal services
input_share,5412OP,23,0.00548023177714786,Construction,"Miscellaneous professional, scientific, and technical services"
input_share,5415,23,5.649284075295849e-4,Construction,Computer systems design and related services
input_share,55,23,0.0038252493362990587,Construction,Management of companies and enterprises
input_share,561,23,0.0025715587194643855,Construction,Administrative and support services
input_share,562,23,0.0025888941723463824,Construction,Waste management and remediation services
input_share,61,23,0.018433770227722048,Construction,Educational services
input_share,621,23,0.0020924665675255754,Construction,Ambulatory health care services
input_share,622,23,0.0031962024527488024,Construction,Hospitals
input_share,623,23,0.006599489770790853,Construction,Nursing and residential care facilities
input_share,624,23,0.006078754304536604,Construction,Social assistance
input_share,711AS,23,0.0041898736307190085,Construction,"Performing arts, spectator sports, museums, and related activities"
input_share,713,23,0.008297463385581638,Construction,"Amusements, gambling, and recreation industries"
input_share,721,23,0.02752959776454151,Construction,Accommodation
input_share,722,23,0.005993795068346152,Construction,Food services and drinking places
input_share,81,23,0.015047534856309809,Construction,"Other services, except government"
input_share,HS,23,0.2836086835311088,Construction,Housing
input_share,ORE,23,0.0673126887156801,Construction,Other real estate
input_share,111CA,311FT,0.26102195052106036,Food and beverage and tobacco products,Farms
input_share,113FF,311FT,0.0473087818696884,Food and beverage and tobacco products,"Forestry, fishing, and related activities"
input_share,313TT,311FT,6.411900487304314e-4,Food and beverage and tobacco products,Textile mills and textile product mills
input_share,315AL,311FT,0.04514596062457571,Food and beverage and tobacco products,Apparel and leather and allied products
input_share,321,311FT,6.128926343438722e-4,Food and beverage and tobacco products,Wood products
input_share,322,311FT,0.006235374693225274,Food and beverage and tobacco products,Paper products
input_share,323,311FT,0.00879443019421033,Food and beverage and tobacco products,Printing and related support activities
input_share,324,311FT,0.0014614419719469693,Food and beverage and tobacco products,Petroleum and coal products
input_share,325,311FT,0.030431761891881865,Food and beverage and tobacco products,Chemical products
input_share,326,311FT,0.0017604140154407356,Food and beverage and tobacco products,Plastics and rubber products
input_share,327,311FT,0.009958121851901886,Food and beverage and tobacco products,Nonmetallic mineral products
input_share,331,311FT,9.64655039357926e-5,Food and beverage and tobacco products,Primary metals
input_share,339,311FT,1.0621510075260988e-4,Food and beverage and tobacco products,Miscellaneous manufacturing
input_share,42,311FT,0.0035843161948124233,Food and beverage and tobacco products,Wholesale trade
input_share,441,311FT,8.900360464598818e-6,Food and beverage and tobacco products,Motor vehicle and parts dealers
input_share,445,311FT,0.03269387230762644,Food and beverage and tobacco products,Food and beverage stores
input_share,452,311FT,0.012731662202577562,Food and beverage and tobacco products,General merchandise stores
input_share,481,311FT,0.007069073455759598,Food and beverage and tobacco products,Air transportation
input_share,482,311FT,5.1952100163649124e-5,Food and beverage and tobacco products,Rail transportation
input_share,483,311FT,0.012831166291915136,Food and beverage and tobacco products,Water transportation
input_share,484,311FT,2.1433273626355763e-4,Food and beverage and tobacco products,Truck transportation
input_share,487OS,311FT,1.1356409557554285e-4,Food and beverage and tobacco products,Other transportation and support activities
input_share,4A0,311FT,0.005544937763402913,Food and beverage and tobacco products,Other retail
input_share,511,311FT,3.961717300193798e-4,Food and beverage and tobacco products,"Publishing industries, except internet (includes software)"
input_share,512,311FT,4.2936882782309324e-4,Food and beverage and tobacco products,Motion picture and sound recording industries
input_share,514,311FT,0.0011218809317460297,Food and beverage and tobacco products,"Data processing, internet publishing, and other information services"
input_share,5412OP,311FT,0.014972166251152623,Food and beverage and tobacco products,"Miscellaneous professional, scientific, and technical services"
input_share,55,311FT,4.8432230752672384e-4,Food and beverage and tobacco products,Management of companies and enterprises
input_share,61,311FT,0.06210185252983819,Food and beverage and tobacco products,Educational services
input_share,621,311FT,1.6584939769027075e-5,Food and beverage and tobacco products,Ambulatory health care services
input_share,622,311FT,0.018376917534486326,Food and beverage and tobacco products,Hospitals
input_share,623,311FT,0.05492351486855195,Food and beverage and tobacco products,Nursing and residential care facilities
input_share,624,311FT,0.19497928831661426,Food and beverage and tobacco products,Social assistance
input_share,711AS,311FT,0.02290127715425129,Food and beverage and tobacco products,"Performing arts, spectator sports, museums, and related activities"
input_share,713,311FT,0.10457781748287721,Food and beverage and tobacco products,"Amusements, gambling, and recreation industries"
input_share,721,311FT,0.08374696668872711,Food and beverage and tobacco products,Accommodation
input_share,722,311FT,0.2452786133542649,Food and beverage and tobacco products,Food services and drinking places
input_share,81,311FT,0.00697513919260534,Food and beverage and tobacco products,"Other services, except government"
input_share,111CA,313TT,6.163078800253904e-4,Textile mills and textile product mills,Farms
input_share,113FF,313TT,0.007648725212464578,Textile mills and textile product mills,"Forestry, fishing, and related activities"
input_share,212,313TT,4.469673266884191e-5,Textile mills and textile product mills,"Mining, except oil and gas"
input_share,23,313TT,0.004210779284878141,Textile mills and textile product mills,Construction
input_share,311FT,313TT,6.86888335055619e-4,Textile mills and textile product mills,Food and beverage and tobacco products
input_share,315AL,313TT,0.26272912423625255,Textile mills and textile product mills,Apparel and leather and allied products
input_share,321,313TT,0.014140308635219428,Textile mills and textile product mills,Wood products
input_share,322,313TT,0.0610410364705211,Textile mills and textile product mills,Paper products
input_share,323,313TT,0.006046170758519601,Textile mills and textile product mills,Printing and related support activities
input_share,324,313TT,9.520794605517781e-5,Textile mills and textile product mills,Petroleum and coal products
