list_id,hts8,year,active_301_rate
list1,8402.11.00,2025,0.25
list1,8412.39.00,2016,0.0
list1,8412.39.00,2017,0.0
list1,8412.39.00,2018,0.125
list1,8412.39.00,2019,0.25
list1,8412.39.00,2020,0.25
list1,8412.39.00,2021,0.25
list1,8412.39.00,2022,0.25
list1,8412.39.00,2023,0.25
list1,8412.39.00,2024,0.25
list1,8412.39.00,2025,0.25
list1,8420.10.90,2016,0.0
list1,8420.10.90,2017,0.0
list1,8420.10.90,2018,0.125
list1,8420.10.90,2019,0.25
list1,8420.10.90,2020,0.25
list1,8420.10.90,2021,0.25
list1,8420.10.90,2022,0.25
list1,8420.10.90,2023,0.25
list1,8420.10.90,2024,0.25
list1,8420.10.90,2025,0.25
list1,8428.39.00,2016,0.0
list1,8428.39.00,2017,0.0
list1,8428.39.00,2018,0.125
list1,8428.39.00,2019,0.25
list1,8428.39.00,2020,0.25
list1,8428.39.00,2021,0.25
list1,8428.39.00,2022,0.25
list1,8428.39.00,2023,0.25
list1,8428.39.00,2024,0.25
list1,8428.39.00,2025,0.25
list1,8402.12.00,2016,0.0
list1,8402.12.00,2017,0.0
list1,8402.12.00,2018,0.125
list1,8402.12.00,2019,0.25
list1,8402.12.00,2020,0.25
list1,8402.12.00,2021,0.25
list1,8402.12.00,2022,0.25
list1,8402.12.00,2023,0.25
list1,8402.12.00,2024,0.25
list1,8402.12.00,2025,0.25
list1,8412.80.10,2016,0.0
list1,8412.80.10,2017,0.0
list1,8412.80.10,2018,0.125
list1,8412.80.10,2019,0.25
list1,8412.80.10,2020,0.25
list1,8412.80.10,2021,0.25
list1,8412.80.10,2022,0.25
list1,8412.80.10,2023,0.25
list1,8412.80.10,2024,0.25
list1,8412.80.10,2025,0.25
list1,8420.91.10,2016,0.0
list1,8420.91.10,2017,0.0
list1,8420.91.10,2018,0.125
list1,8420.91.10,2019,0.25
list1,8420.91.10,2020,0.25
list1,8420.91.10,2021,0.25
list1,8420.91.10,2022,0.25
list1,8420.91.10,2023,0.25
list1,8420.91.10,2024,0.25
list1,8420.91.10,2025,0.25
list1,8428.90.02,2016,0.0
list1,8428.90.02,2017,0.0
list1,8428.90.02,2018,0.125
list1,8428.90.02,2019,0.25
list1,8428.90.02,2020,0.25
list1,8428.90.02,2021,0.25
list1,8428.90.02,2022,0.25
list1,8428.90.02,2023,0.25
list1,8428.90.02,2024,0.25
list1,8428.90.02,2025,0.25
list1,8402.19.00,2016,0.0
list1,8402.19.00,2017,0.0
list1,8402.19.00,2018,0.125
list1,8402.19.00,2019,0.25
list1,8402.19.00,2020,0.25
list1,8402.19.00,2021,0.25
list1,8402.19.00,2022,0.25
list1,8402.19.00,2023,0.25
list1,8402.19.00,2024,0.25
list1,8402.19.00,2025,0.25
list1,8412.80.90,2016,0.0
list1,8412.80.90,2017,0.0
list1,8412.80.90,2018,0.125
list1,8412.80.90,2019,0.25
list1,8412.80.90,2020,0.25
list1,8412.80.90,2021,0.25
list1,8412.80.90,2022,0.25
list1,8412.80.90,2023,0.25
list1,8412.80.90,2024,0.25
list1,8412.80.90,2025,0.25
list1,8420.91.20,2016,0.0
list1,8420.91.20,2017,0.0
list1,8420.91.20,2018,0.125
list1,8420.91.20,2019,0.25
list1,8420.91.20,2020,0.25
list1,8420.91.20,2021,0.25
list1,8420.91.20,2022,0.25
list1,8420.91.20,2023,0.25
list1,8420.91.20,2024,0.25
list1,8420.91.20,2025,0.25
list1,8429.11.00,2016,0.0
list1,8429.11.00,2017,0.0
list1,8429.11.00,2018,0.125
list1,8429.11.00,2019,0.25
list1,8429.11.00,2020,0.25
list1,8429.11.00,2021,0.25
