year,industry_code,industry_name,commodity_code,commodity_name,value_musd,total_intermediate_musd,input_share,link_5pct
2019,3364OT,Other transportation equipment,113FF,"Forestry, fishing, and related activities",0.0,162915.0,0.0,0
2019,337,Furniture and related products,113FF,"Forestry, fishing, and related activities",104.0,43803.0,0.002374266602744104,0
2019,339,Miscellaneous manufacturing,113FF,"Forestry, fishing, and related activities",295.0,75412.0,0.003911844268816634,0
2019,311FT,Food and beverage and tobacco products,113FF,"Forestry, fishing, and related activities",9666.0,705040.0,0.013709860433450584,0
2019,313TT,Textile mills and textile product mills,113FF,"Forestry, fishing, and related activities",0.0,33218.0,0.0,0
2019,315AL,Apparel and leather and allied products,113FF,"Forestry, fishing, and related activities",75.0,7712.0,0.009725103734439834,0
2019,322,Paper products,113FF,"Forestry, fishing, and related activities",3535.0,128227.0,0.027568296848557636,0
2019,323,Printing and related support activities,113FF,"Forestry, fishing, and related activities",27.0,39644.0,0.0006810614468772072,0
2019,324,Petroleum and coal products,113FF,"Forestry, fishing, and related activities",0.0,454343.0,0.0,0
2019,325,Chemical products,113FF,"Forestry, fishing, and related activities",417.0,430956.0,0.0009676161835547016,0
2019,326,Plastics and rubber products,113FF,"Forestry, fishing, and related activities",2119.0,165496.0,0.012803934838304248,0
2019,42,Wholesale trade,113FF,"Forestry, fishing, and related activities",0.0,935960.0,0.0,0
2019,441,Motor vehicle and parts dealers,113FF,"Forestry, fishing, and related activities",0.0,113778.0,0.0,0
2019,445,Food and beverage stores,113FF,"Forestry, fishing, and related activities",735.0,94734.0,0.0077585660903160426,0
2019,452,General merchandise stores,113FF,"Forestry, fishing, and related activities",0.0,84564.0,0.0,0
2019,4A0,Other retail,113FF,"Forestry, fishing, and related activities",0.0,417277.0,0.0,0
2019,481,Air transportation,113FF,"Forestry, fishing, and related activities",0.0,132056.0,0.0,0
2019,482,Rail transportation,113FF,"Forestry, fishing, and related activities",0.0,38661.0,0.0,0
2019,483,Water transportation,113FF,"Forestry, fishing, and related activities",0.0,45363.0,0.0,0
2019,484,Truck transportation,113FF,"Forestry, fishing, and related activities",0.0,212015.0,0.0,0
2019,485,Transit and ground passenger transportation,113FF,"Forestry, fishing, and related activities",0.0,55215.0,0.0,0
2019,486,Pipeline transportation,113FF,"Forestry, fishing, and related activities",0.0,22684.0,0.0,0
2019,487OS,Other transportation and support activities,113FF,"Forestry, fishing, and related activities",1.0,120500.0,8.298755186721992e-06,0
2019,493,Warehousing and storage,113FF,"Forestry, fishing, and related activities",0.0,61561.0,0.0,0
2019,511,"Publishing industries, except internet (includes software)",113FF,"Forestry, fishing, and related activities",0.0,140075.0,0.0,0
2019,512,Motion picture and sound recording industries,113FF,"Forestry, fishing, and related activities",0.0,78299.0,0.0,0
2019,513,Broadcasting and telecommunications,113FF,"Forestry, fishing, and related activities",0.0,392419.0,0.0,0
2019,514,"Data processing, internet publishing, and other information services",113FF,"Forestry, fishing, and related activities",0.0,207641.0,0.0,0
2019,521CI,"Federal Reserve banks, credit intermediation, and related activities",113FF,"Forestry, fishing, and related activities",0.0,379812.0,0.0,0
2019,523,"Securities, commodity contracts, and investments",113FF,"Forestry, fishing, and related activities",0.0,328963.0,0.0,0
2019,524,Insurance carriers and related activities,113FF,"Forestry, fishing, and related activities",0.0,501241.0,0.0,0
2019,525,"Funds, trusts, and other financial vehicles",113FF,"Forestry, fishing, and related activities",0.0,145633.0,0.0,0
2019,HS,Housing,113FF,"Forestry, fishing, and related activities",0.0,247528.0,0.0,0
2019,ORE,Other real estate,113FF,"Forestry, fishing, and related activities",0.0,843501.0,0.0,0
2019,532RL,Rental and leasing services and lessors of intangible assets,113FF,"Forestry, fishing, and related activities",0.0,160936.0,0.0,0
2019,5411,Legal services,113FF,"Forestry, fishing, and related activities",0.0,80838.0,0.0,0
2019,5415,Computer systems design and related services,113FF,"Forestry, fishing, and related activities",0.0,153186.0,0.0,0
2019,5412OP,"Miscellaneous professional, scientific, and technical services",113FF,"Forestry, fishing, and related activities",337.0,588693.0,0.0005724545730966734,0
2019,55,Management of companies and enterprises,113FF,"Forestry, fishing, and related activities",22.0,226135.0,9.728701881619386e-05,0
2019,561,Administrative and support services,113FF,"Forestry, fishing, and related activities",3.0,473915.0,6.3302490953019e-06,0
2019,562,Waste management and remediation services,113FF,"Forestry, fishing, and related activities",0.0,69330.0,0.0,0
2019,61,Educational services,113FF,"Forestry, fishing, and related activities",60.0,112881.0,0.0005315332075371408,0
2019,621,Ambulatory health care services,113FF,"Forestry, fishing, and related activities",0.0,378847.0,0.0,0
2019,622,Hospitals,113FF,"Forestry, fishing, and related activities",0.0,406220.0,0.0,0
2019,623,Nursing and residential care facilities,113FF,"Forestry, fishing, and related activities",0.0,102645.0,0.0,0
2019,624,Social assistance,113FF,"Forestry, fishing, and related activities",0.0,100948.0,0.0,0
2019,711AS,"Performing arts, spectator sports, museums, and related activities",113FF,"Forestry, fishing, and related activities",0.0,83875.0,0.0,0
2019,713,"Amusements, gambling, and recreation industries",113FF,"Forestry, fishing, and related activities",252.0,75717.0,0.0033281825745869486,0
2019,721,Accommodation,113FF,"Forestry, fishing, and related activities",444.0,111615.0,0.003977959951619406,0
2019,722,Food services and drinking places,113FF,"Forestry, fishing, and related activities",6031.0,418838.0,0.014399362044513631,0
2019,81,"Other services, except government",113FF,"Forestry, fishing, and related activities",96.0,298895.0,0.00032118302413891163,0
2019,GFGD,Federal general government (defense),113FF,"Forestry, fishing, and related activities",0.0,270064.0,0.0,0
2019,GFGN,Federal general government (nondefense),113FF,"Forestry, fishing, and related activities",45.0,121485.0,0.0003704161007531794,0
2019,GFE,Federal government enterprises,113FF,"Forestry, fishing, and related activities",18.0,33264.0,0.0005411255411255411,0
2019,GSLG,State and local general government,113FF,"Forestry, fishing, and related activities",4754.0,842146.0,0.005645101918194707,0
2019,GSLE,State and local government enterprises,113FF,"Forestry, fishing, and related activities",0.0,231285.0,0.0,0
