hts8,naics_str,import_value_2017_china,naics_import_total_2017_china,hs8_naics_weight
5804.29.10,313240,1.401143,484.394215,0.0028925675753580173
5804.29.90,313240,0.158184,484.394215,0.00032656046480654193
5804.30.00,313240,0.011878,484.394215,2.452134982660765e-05
5805.00.25,990000,0.206327,360.554918,0.0005722484695105449
5805.00.30,990000,0.040739,360.554918,0.00011298972213714194
5805.00.40,990000,0.037773,360.554918,0.00010476351344623734
5806.10.10,313220,0.086383,229.788995,0.00037592313765939925
5806.10.24,313220,10.927025,229.788995,0.047552429566959896
5806.10.28,313220,3.616966,229.788995,0.015740379559952382
5806.10.30,313220,0.811441,229.788995,0.003531243957092027
5806.20.00,313220,11.894454999999999,229.788995,0.051762509340362445
5806.31.00,313220,10.482,229.788995,0.045615761538101506
5806.32.10,313220,37.573283,229.788995,0.163512108140775
5806.32.20,313220,32.368309,229.788995,0.14086100598507775
5806.39.10,313220,0.022018,229.788995,9.581833977732484e-05
5806.39.20,313220,5.264105,229.788995,0.022908429535539766
5806.39.30,313220,1.143956,229.788995,0.004978288886288919
5806.40.00,313220,0.060982999999999996,229.788995,0.00026538694770826597
5807.10.05,313220,8.181738,229.788995,0.035605438807023805
5807.10.15,313220,0.654515,229.788995,0.0028483304868451164
5807.10.20,314999,2.099898,2874.031104,0.000730645537230762
5807.90.05,314999,0.367158,2874.031104,0.00012775018317964592
5807.90.15,314999,0.099933,2874.031104,3.477102243636678e-05
5807.90.20,314999,1.676786,2874.031104,0.0005834265320463282
5808.10.10,315990,0.032737,3039.757164,1.0769610279303219e-05
5808.10.40,315990,0.139252,3039.757164,4.581023828125765e-05
5808.10.50,315990,0.290374,3039.757164,9.552539375148588e-05
5808.10.70,315990,1.16422,3039.757164,0.00038299769922016044
5808.10.90,315990,1.7320719999999998,3039.757164,0.0005698060425724191
5808.90.00,315990,16.078112,3039.757164,0.005289275140269067
5809.00.00,314999,0.151633,2874.031104,5.275969344554456e-05
5810.10.00,314999,2.310251,2874.031104,0.0008038364639772527
5810.91.00,314999,0.733457,2874.031104,0.0002552014830247293
5810.92.10,314999,32.36564,2874.031104,0.011261409090164112
5810.92.90,314999,11.380671,2874.031104,0.003959828752082983
5810.99.10,314999,0.004228,2874.031104,1.471104468603552e-06
5810.99.90,314999,0.625935,2874.031104,0.0002177899185324892
5811.00.10,314999,0.042929999999999996,2874.031104,1.4937207861199262e-05
5811.00.20,314999,1.617381,2874.031104,0.000562756957553094
5811.00.30,314999,1.278396,2874.031104,0.0004448093822717376
5811.00.40,314999,0.814113,2874.031104,0.00028326520157243224
5901.10.10,313320,0.164225,401.888733,0.0004086330034039546
5901.10.20,313320,0.451482,401.888733,0.00112340049105084
5901.90.20,313320,0.898532,401.888733,0.002235773054130383
5901.90.40,313320,53.600541,401.888733,0.13337159417206154
5902.10.00,314994,7.9860109999999995,425.92587399999996,0.01874976724236293
5902.20.00,314994,39.910593,425.92587399999996,0.09370314281493967
5902.90.00,314994,0.23019699999999998,425.92587399999996,0.0005404625876285694
5903.10.10,313320,3.269852,401.888733,0.008136212168953738
5903.10.15,313320,11.505238,401.888733,0.028627918762778554
5903.10.18,313320,0.127811,401.888733,0.0003180258352751581
5903.10.20,313320,78.922909,401.888733,0.1963799990381915
5903.10.25,313320,7.848623,401.888733,0.01952934321251549
5903.10.30,313320,4.529906,401.888733,0.011271542663526226
