sector_code,sector_name,summary_code,summary_name,underlying_summary_code,underlying_summary_name,detail_code,detail_name,go_detail_code,go_detail_name,notes,naics_2017
33DG,Durable goods,331,Primary metals,3313NF,Nonferrous metal production and processing and foundries,33131B,Aluminum product manufacturing from purchased aluminum,33131B,Aluminum product manufacturing from purchased aluminum,,331315
33DG,Durable goods,331,Primary metals,3313NF,Nonferrous metal production and processing and foundries,33131B,Aluminum product manufacturing from purchased aluminum,33131B,Aluminum product manufacturing from purchased aluminum,,331318
33DG,Durable goods,331,Primary metals,3313NF,Nonferrous metal production and processing and foundries,331410,Nonferrous metal (except aluminum) smelting and refining,331410,Nonferrous metal (except aluminum) smelting and refining,,331410
33DG,Durable goods,331,Primary metals,3313NF,Nonferrous metal production and processing and foundries,331420,"Copper rolling, drawing, extruding and alloying",331420,"Copper rolling, drawing, extruding and alloying",,33142
33DG,Durable goods,331,Primary metals,3313NF,Nonferrous metal production and processing and foundries,331490,"Nonferrous metal (except copper and aluminum) rolling, drawing, extruding and alloying",331490,"Nonferrous metal (except copper and aluminum) rolling, drawing, extruding and alloying",,33149
33DG,Durable goods,331,Primary metals,3313NF,Nonferrous metal production and processing and foundries,331510,Ferrous metal foundries,331510,Ferrous metal foundries,,33151
33DG,Durable goods,331,Primary metals,3313NF,Nonferrous metal production and processing and foundries,331520,Nonferrous metal foundries,331520,Nonferrous metal foundries,,33152
33DG,Durable goods,332,Fabricated metal products,332,Fabricated metal products,33211A,"All other forging, stamping, and sintering",33211A,"All other forging, stamping, and sintering",,332111
33DG,Durable goods,332,Fabricated metal products,332,Fabricated metal products,33211A,"All other forging, stamping, and sintering",33211A,"All other forging, stamping, and sintering",,332112
33DG,Durable goods,332,Fabricated metal products,332,Fabricated metal products,33211A,"All other forging, stamping, and sintering",33211A,"All other forging, stamping, and sintering",,332117
33DG,Durable goods,332,Fabricated metal products,332,Fabricated metal products,332114,Custom roll forming,332114,Custom roll forming,,332114
33DG,Durable goods,332,Fabricated metal products,332,Fabricated metal products,332119,"Metal crown, closure, and other metal stamping (except automotive)",332119,"Metal crown, closure, and other metal stamping (except automotive)",,332119
33DG,Durable goods,332,Fabricated metal products,332,Fabricated metal products,332200,Cutlery and handtool manufacturing,332200,Cutlery and handtool manufacturing,,3322
33DG,Durable goods,332,Fabricated metal products,332,Fabricated metal products,332310,Plate work and fabricated structural product manufacturing,332310,Plate work and fabricated structural product manufacturing,,33231
33DG,Durable goods,332,Fabricated metal products,332,Fabricated metal products,332320,Ornamental and architectural metal products manufacturing,332320,Ornamental and architectural metal products manufacturing,,33232
33DG,Durable goods,332,Fabricated metal products,332,Fabricated metal products,332410,Power boiler and heat exchanger manufacturing,332410,Power boiler and heat exchanger manufacturing,,33241
33DG,Durable goods,332,Fabricated metal products,332,Fabricated metal products,332420,Metal tank (heavy gauge) manufacturing,332420,Metal tank (heavy gauge) manufacturing,,33242
33DG,Durable goods,332,Fabricated metal products,332,Fabricated metal products,332430,"Metal can, box, and other metal container (light gauge) manufacturing",332430,"Metal can, box, and other metal container (light gauge) manufacturing",,33243
33DG,Durable goods,332,Fabricated metal products,332,Fabricated metal products,332500,Hardware manufacturing,332500,Hardware manufacturing,,3325
33DG,Durable goods,332,Fabricated metal products,332,Fabricated metal products,332600,Spring and wire product manufacturing,332600,Spring and wire product manufacturing,,3326
33DG,Durable goods,332,Fabricated metal products,332,Fabricated metal products,332710,Machine shops,332710,Machine shops,,33271
33DG,Durable goods,332,Fabricated metal products,332,Fabricated metal products,332720,"Turned product and screw, nut, and bolt manufacturing",332720,"Turned product and screw, nut, and bolt manufacturing",,33272
33DG,Durable goods,332,Fabricated metal products,332,Fabricated metal products,332800,"Coating, engraving, heat treating and allied activities",332800,"Coating, engraving, heat treating and allied activities",,3328
33DG,Durable goods,332,Fabricated metal products,332,Fabricated metal products,33291A,Valve and fittings other than plumbing,33291A,Valve and fittings other than plumbing,,332911
33DG,Durable goods,332,Fabricated metal products,332,Fabricated metal products,33291A,Valve and fittings other than plumbing,33291A,Valve and fittings other than plumbing,,332912
33DG,Durable goods,332,Fabricated metal products,332,Fabricated metal products,33291A,Valve and fittings other than plumbing,33291A,Valve and fittings other than plumbing,,332919
33DG,Durable goods,332,Fabricated metal products,332,Fabricated metal products,332913,Plumbing fixture fitting and trim manufacturing,332913,Plumbing fixture fitting and trim manufacturing,,332913
33DG,Durable goods,332,Fabricated metal products,332,Fabricated metal products,332991,Ball and roller bearing manufacturing,332991,Ball and roller bearing manufacturing,,332991
33DG,Durable goods,332,Fabricated metal products,332,Fabricated metal products,33299A,"Ammunition, arms, ordnance, and accessories manufacturing",33299A,"Ammunition, arms, ordnance, and accessories manufacturing",,332992
33DG,Durable goods,332,Fabricated metal products,332,Fabricated metal products,33299A,"Ammunition, arms, ordnance, and accessories manufacturing",33299A,"Ammunition, arms, ordnance, and accessories manufacturing",,332993
33DG,Durable goods,332,Fabricated metal products,332,Fabricated metal products,33299A,"Ammunition, arms, ordnance, and accessories manufacturing",33299A,"Ammunition, arms, ordnance, and accessories manufacturing",,332994
33DG,Durable goods,332,Fabricated metal products,332,Fabricated metal products,332996,Fabricated pipe and pipe fitting manufacturing,332996,Fabricated pipe and pipe fitting manufacturing,,332996
33DG,Durable goods,332,Fabricated metal products,332,Fabricated metal products,332999,Other fabricated metal manufacturing,332999,Other fabricated metal manufacturing,,332999
