naics,naics_str,naics_desc,R0_2017,S0_2017,E0_2017,T0_2017,R0_2018,S0_2018,E0_2018,T0_2018,R0,S0,E0,T0
323.0,323,Printing and Related Support Activities,0.0,2.677501179742269e-05,2.40474521879688e-05,0.0,0.010959452258129707,0.007417007272082655,0.0062670843725269165,0.009237749161986327,0.010959452,0.0073902323,0.006243037,0.0092377495
324.0,324,Petroleum and Coal Products Manufacturing,0.0,3.01077194077061e-07,1.3467219148591594e-05,0.0,0.0032863671980354787,8.453512502877895e-05,3.445452992224616e-05,0.00017871090341160082,0.0032863673,8.4234045e-05,2.098731e-05,0.0001787109
325.0,325,Chemical Manufacturing,0.0,0.0007594128903691054,0.0011593649330739729,0.0,0.00824899992750188,0.0051806120368743415,0.004868313839789684,0.005128409143396826,0.008249,0.004421199,0.0037089488,0.0051284092
326.0,326,Plastics and Rubber Products Manufacturing,0.0,0.006682656314121949,0.0064906692232554325,0.0,0.005547058453531791,0.02760613315038383,0.02477849404211561,0.0238539642201971,0.0055470583,0.020923477,0.018287824,0.023853965
327.0,327,Nonmetallic Mineral Product Manufacturing,0.0,0.005975500240497083,0.00574188196506317,0.0,0.02508713482194186,0.02334212649491297,0.01974766639953325,0.02141470283816754,0.025087135,0.017366625,0.014005785,0.021414703
331.0,331,Primary Metal Manufacturing,0.0,0.0014635352982051654,0.0014526844769521144,0.0,0.0407496280856898,0.06892554130440107,0.07036008872054261,0.06778301022505928,0.040749628,0.067462005,0.0689074,0.06778301
332.0,332,Fabricated Metal Product Manufacturing,0.0,0.006046290334904989,0.006519384546927507,0.0,0.009895444274220724,0.033197172594109994,0.03614243007883641,0.03095202948307741,0.009895444,0.027150882,0.029623045,0.030952029
333.0,333,Machinery Manufacturing,0.0,0.0008478308880696157,0.0011970753431000064,0.0,0.004543864959624338,0.026397997167505127,0.023457676146402373,0.027259622341912405,0.004543865,0.025550166,0.0222606,0.027259622
334.0,334,Computer and Electronic Product Manufacturing,0.0,0.0001309403440959956,0.00027862727931457536,0.0,0.0056048973296076695,0.015327712464041205,0.012585738646917321,0.017674758692471343,0.005604897,0.015196772,0.012307111,0.017674759
335.0,335,"Electrical Equipment, Appliance, and Component Manufacturing",0.0,0.0054810910030956535,0.008263399767169274,0.0,0.009000278715811074,0.04272393303346166,0.03767847668162524,0.041419999343221464,0.009000279,0.03724284,0.029415077,0.041419998
336.0,336,Transportation Equipment Manufacturing,0.0,0.0008326182390396341,0.0011262674096777412,0.0,0.010310121763719276,0.00652836134728006,0.00589665075622194,0.006428562240432901,0.010310122,0.005695743,0.0047703832,0.006428562
337.0,337,Furniture and Related Product Manufacturing,0.0,0.0009014065469726762,0.0008401863773765486,0.0,0.01404033366643617,0.04073903130882451,0.03253795200981599,0.049730681662362095,0.014040333,0.039837625,0.031697765,0.04973068
339.0,339,Miscellaneous Manufacturing,0.0,0.0001548684239575044,0.0002868024153377251,0.0,0.00977419160970839,0.0013191385256106365,0.001304725515356333,0.0013405400499873676,0.009774191,0.0011642701,0.0010179231,0.00134054
910.0,,,0.0,0.0,0.0,0.0,0.08051136731630332,0.00118817720892988,0.0008195204390221975,0.0014052932300336431,0.08051137,0.0011881773,0.00081952044,0.0014052932
930.0,,,0.0,6.653148348469305e-06,6.005910434153921e-06,0.0,0.010433071606769106,8.32808201382762e-05,7.410712832111185e-05,7.909183300218637e-05,0.010433071,7.662767e-05,6.810122e-05,7.9091835e-05
