Series_ID,Year,Month,Value
CUUR0000SAD,2018,7,104.864
CUUR0000SAD,2018,6,104.636
CUUR0000SAD,2018,5,104.583
CUUR0000SAD,2018,4,104.891
CUUR0000SAD,2018,3,105.046
CUUR0000SAD,2018,2,104.626
CUUR0000SAD,2018,1,104.433
CUUR0000SAD,2017,12,104.083
CUUR0000SAD,2017,11,103.714
CUUR0000SAD,2017,10,103.838
CUUR0000SAD,2017,9,104.175
CUUR0000SAD,2017,8,104.9
CUUR0000SAD,2017,7,105.298
CUUR0000SAD,2017,6,105.917
CUUR0000SAD,2017,5,106.257
CUUR0000SAD,2017,4,106.397
CUUR0000SAD,2017,3,106.343
CUUR0000SAD,2017,2,106.326
CUUR0000SAD,2017,1,106.147
CUUR0000SAD,2016,12,105.431
CUUR0000SAD,2016,11,105.479
CUUR0000SAD,2016,10,106.123
CUUR0000SAD,2016,9,106.41
CUUR0000SAD,2016,8,106.982
CUUR0000SAD,2016,7,107.432
CUUR0000SAD,2016,6,107.832
CUUR0000SAD,2016,5,108.345
CUUR0000SAD,2016,4,108.676
CUUR0000SAD,2016,3,108.525
CUUR0000SAD,2016,2,108.252
CUUR0000SAD,2016,1,107.862
CUUR0000SAD,2015,12,107.599
CUUR0000SAD,2015,11,107.926
CUUR0000SAD,2015,10,108.5
CUUR0000SAD,2015,9,108.948
CUUR0000SAD,2015,8,109.187
CUUR0000SAD,2015,7,109.652
CUUR0000SAD,2015,6,110.049
CUUR0000SAD,2015,5,110.197
CUUR0000SAD,2015,4,110.212
CUUR0000SAD,2015,3,109.587
CUUR0000SAD,2015,2,109.062
CUUR0000SAD,2015,1,108.474
CUUR0000SAM,2025,1,571.899
CUUR0000SAM,2024,12,569.189
CUUR0000SAM,2024,11,568.773
CUUR0000SAM,2024,10,567.87
CUUR0000SAM,2024,9,566.266
CUUR0000SAM,2024,8,564.407
CUUR0000SAM,2024,7,564.039
CUUR0000SAM,2024,6,565.301
CUUR0000SAM,2024,5,564.249
