year,category,source,series_id,value
1994,durables,BLS CPI-U,CUUR0000SAD,124.79166666666667
1994,education_communication,BLS CPI-U,CUUR0000SAE,88.77499999999999
1994,energy,BLS CPI-U,CUUR0000SA0E,104.625
1994,food,BLS CPI-U,CUUR0000SAF1,144.275
1994,household_furnishings,BLS CPI-U,CUUR0000SAH3,121.01666666666667
1994,medical_care,BLS CPI-U,CUUR0000SAM,211.01666666666665
1994,new_vehicles,BLS CPI-U,CUUR0000SETA01,137.58333333333334
1994,recreation,BLS CPI-U,CUUR0000SAR,92.69166666666666
1994,rent_primary_residence,BLS CPI-U,CUUR0000SEHA,154.00833333333333
1994,shelter,BLS CPI-U,CUUR0000SAH1,160.525
1994,transportation,BLS CPI-U,CUUR0000SAT,134.29999999999998
1994,used_cars_trucks,BLS CPI-U,CUUR0000SETA02,141.65833333333333
1995,apparel,BLS CPI-U,CUUR0000SAA,131.95833333333334
1995,cpi_all,BLS CPI-U,CUUR0000SA0,152.38333333333333
1995,durables,BLS CPI-U,CUUR0000SAD,127.99166666666667
1995,education_communication,BLS CPI-U,CUUR0000SAE,92.19166666666666
1995,energy,BLS CPI-U,CUUR0000SA0E,105.24166666666667
1995,food,BLS CPI-U,CUUR0000SAF1,148.41666666666666
1995,household_furnishings,BLS CPI-U,CUUR0000SAH3,123.00833333333333
1995,medical_care,BLS CPI-U,CUUR0000SAM,220.46666666666667
1995,new_vehicles,BLS CPI-U,CUUR0000SETA01,140.95000000000002
1995,recreation,BLS CPI-U,CUUR0000SAR,94.53333333333335
1995,rent_primary_residence,BLS CPI-U,CUUR0000SEHA,157.775
1995,shelter,BLS CPI-U,CUUR0000SAH1,165.68333333333334
1995,transportation,BLS CPI-U,CUUR0000SAT,139.10833333333332
1995,used_cars_trucks,BLS CPI-U,CUUR0000SETA02,156.45000000000002
1996,apparel,BLS CPI-U,CUUR0000SAA,131.70000000000002
1996,cpi_all,BLS CPI-U,CUUR0000SA0,156.85
1996,durables,BLS CPI-U,CUUR0000SAD,129.35833333333332
1996,education_communication,BLS CPI-U,CUUR0000SAE,95.325
1996,energy,BLS CPI-U,CUUR0000SA0E,110.13333333333333
1996,food,BLS CPI-U,CUUR0000SAF1,153.28333333333333
1996,household_furnishings,BLS CPI-U,CUUR0000SAH3,124.675
1996,medical_care,BLS CPI-U,CUUR0000SAM,228.225
1996,new_vehicles,BLS CPI-U,CUUR0000SETA01,143.66666666666666
1996,recreation,BLS CPI-U,CUUR0000SAR,97.425
1996,rent_primary_residence,BLS CPI-U,CUUR0000SEHA,161.95000000000002
1996,shelter,BLS CPI-U,CUUR0000SAH1,171.03333333333333
1996,transportation,BLS CPI-U,CUUR0000SAT,143.03333333333333
1996,used_cars_trucks,BLS CPI-U,CUUR0000SETA02,157.04166666666666
1997,apparel,BLS CPI-U,CUUR0000SAA,132.85
1997,cpi_all,BLS CPI-U,CUUR0000SA0,160.51666666666668
1997,durables,BLS CPI-U,CUUR0000SAD,128.725
1997,education_communication,BLS CPI-U,CUUR0000SAE,98.44166666666666
1997,energy,BLS CPI-U,CUUR0000SA0E,111.51666666666667
1997,food,BLS CPI-U,CUUR0000SAF1,157.275
1997,household_furnishings,BLS CPI-U,CUUR0000SAH3,125.36666666666667
1997,medical_care,BLS CPI-U,CUUR0000SAM,234.58333333333334
1997,new_vehicles,BLS CPI-U,CUUR0000SETA01,144.25
1997,recreation,BLS CPI-U,CUUR0000SAR,99.63333333333333
1997,rent_primary_residence,BLS CPI-U,CUUR0000SEHA,166.66666666666666
1997,shelter,BLS CPI-U,CUUR0000SAH1,176.275
1997,transportation,BLS CPI-U,CUUR0000SAT,144.275
1997,used_cars_trucks,BLS CPI-U,CUUR0000SETA02,151.125
1998,apparel,BLS CPI-U,CUUR0000SAA,133.025
1998,cpi_all,BLS CPI-U,CUUR0000SA0,163.00833333333333
1998,durables,BLS CPI-U,CUUR0000SAD,127.55833333333334
1998,education_communication,BLS CPI-U,CUUR0000SAE,100.28333333333335
1998,energy,BLS CPI-U,CUUR0000SA0E,102.875
1998,food,BLS CPI-U,CUUR0000SAF1,160.68333333333334
1998,household_furnishings,BLS CPI-U,CUUR0000SAH3,126.55
1998,medical_care,BLS CPI-U,CUUR0000SAM,242.13333333333333
1998,new_vehicles,BLS CPI-U,CUUR0000SETA01,143.44166666666666
1998,recreation,BLS CPI-U,CUUR0000SAR,101.05
1998,rent_primary_residence,BLS CPI-U,CUUR0000SEHA,172.07500000000002
1998,shelter,BLS CPI-U,CUUR0000SAH1,182.10833333333335
1998,transportation,BLS CPI-U,CUUR0000SAT,141.54999999999998
1998,used_cars_trucks,BLS CPI-U,CUUR0000SETA02,150.60833333333332
1999,apparel,BLS CPI-U,CUUR0000SAA,131.29166666666666
1999,cpi_all,BLS CPI-U,CUUR0000SA0,166.57500000000002
1999,durables,BLS CPI-U,CUUR0000SAD,125.96666666666665
1999,education_communication,BLS CPI-U,CUUR0000SAE,101.175
1999,energy,BLS CPI-U,CUUR0000SA0E,106.61666666666667
1999,food,BLS CPI-U,CUUR0000SAF1,164.1
1999,household_furnishings,BLS CPI-U,CUUR0000SAH3,126.74166666666667
1999,medical_care,BLS CPI-U,CUUR0000SAM,250.58333333333334
1999,new_vehicles,BLS CPI-U,CUUR0000SETA01,142.85833333333332
1999,recreation,BLS CPI-U,CUUR0000SAR,101.95833333333333
1999,rent_primary_residence,BLS CPI-U,CUUR0000SEHA,177.48333333333335
1999,shelter,BLS CPI-U,CUUR0000SAH1,187.25833333333333
1999,transportation,BLS CPI-U,CUUR0000SAT,144.4
1999,used_cars_trucks,BLS CPI-U,CUUR0000SETA02,152.03333333333333
2000,apparel,BLS CPI-U,CUUR0000SAA,129.57500000000002
2000,cpi_all,BLS CPI-U,CUUR0000SA0,172.20000000000002
2000,durables,BLS CPI-U,CUUR0000SAD,125.375
2000,education_communication,BLS CPI-U,CUUR0000SAE,102.50833333333333
2000,energy,BLS CPI-U,CUUR0000SA0E,124.60833333333333
2000,food,BLS CPI-U,CUUR0000SAF1,167.81666666666666
2000,household_furnishings,BLS CPI-U,CUUR0000SAH3,128.24166666666665
2000,medical_care,BLS CPI-U,CUUR0000SAM,260.75
2000,new_vehicles,BLS CPI-U,CUUR0000SETA01,142.75
2000,recreation,BLS CPI-U,CUUR0000SAR,103.30833333333334
2000,rent_primary_residence,BLS CPI-U,CUUR0000SEHA,183.92499999999998
2000,shelter,BLS CPI-U,CUUR0000SAH1,193.35
2000,transportation,BLS CPI-U,CUUR0000SAT,153.33333333333334
2000,used_cars_trucks,BLS CPI-U,CUUR0000SETA02,155.75833333333333
2001,apparel,BLS CPI-U,CUUR0000SAA,127.26666666666667
2001,cpi_all,BLS CPI-U,CUUR0000SA0,177.0666666666667
2001,durables,BLS CPI-U,CUUR0000SAD,124.61666666666667
2001,education_communication,BLS CPI-U,CUUR0000SAE,105.24166666666667
2001,energy,BLS CPI-U,CUUR0000SA0E,129.29166666666666
2001,food,BLS CPI-U,CUUR0000SAF1,173.08333333333334
2001,household_furnishings,BLS CPI-U,CUUR0000SAH3,129.07500000000002
2001,medical_care,BLS CPI-U,CUUR0000SAM,272.7583333333333
2001,new_vehicles,BLS CPI-U,CUUR0000SETA01,142.10833333333332
2001,recreation,BLS CPI-U,CUUR0000SAR,104.90833333333335
2001,rent_primary_residence,BLS CPI-U,CUUR0000SEHA,192.11666666666667
2001,shelter,BLS CPI-U,CUUR0000SAH1,200.5583333333333
2001,transportation,BLS CPI-U,CUUR0000SAT,154.25
2001,used_cars_trucks,BLS CPI-U,CUUR0000SETA02,158.70000000000002
2002,apparel,BLS CPI-U,CUUR0000SAA,124.02499999999999
2002,cpi_all,BLS CPI-U,CUUR0000SA0,179.875
2002,durables,BLS CPI-U,CUUR0000SAD,121.41666666666667
2002,education_communication,BLS CPI-U,CUUR0000SAE,107.89166666666667
2002,energy,BLS CPI-U,CUUR0000SA0E,121.675
2002,food,BLS CPI-U,CUUR0000SAF1,176.21666666666667
2002,household_furnishings,BLS CPI-U,CUUR0000SAH3,128.34166666666667
2002,medical_care,BLS CPI-U,CUUR0000SAM,285.59999999999997
2002,new_vehicles,BLS CPI-U,CUUR0000SETA01,140.0
2002,recreation,BLS CPI-U,CUUR0000SAR,106.23333333333333
2002,rent_primary_residence,BLS CPI-U,CUUR0000SEHA,199.66666666666666
2002,shelter,BLS CPI-U,CUUR0000SAH1,208.09166666666667
2002,transportation,BLS CPI-U,CUUR0000SAT,152.85833333333332
2002,used_cars_trucks,BLS CPI-U,CUUR0000SETA02,151.975
2003,apparel,BLS CPI-U,CUUR0000SAA,120.875
2003,cpi_all,BLS CPI-U,CUUR0000SA0,183.95833333333334
2003,durables,BLS CPI-U,CUUR0000SAD,117.49166666666667
2003,education_communication,BLS CPI-U,CUUR0000SAE,109.78333333333335
2003,energy,BLS CPI-U,CUUR0000SA0E,136.49166666666667
2003,food,BLS CPI-U,CUUR0000SAF1,179.975
2003,household_furnishings,BLS CPI-U,CUUR0000SAH3,126.11666666666667
2003,medical_care,BLS CPI-U,CUUR0000SAM,297.075
2003,new_vehicles,BLS CPI-U,CUUR0000SETA01,137.85
2003,recreation,BLS CPI-U,CUUR0000SAR,107.52499999999999
2003,rent_primary_residence,BLS CPI-U,CUUR0000SEHA,205.51666666666665
2003,shelter,BLS CPI-U,CUUR0000SAH1,213.11666666666667
2003,transportation,BLS CPI-U,CUUR0000SAT,157.55833333333334
2003,used_cars_trucks,BLS CPI-U,CUUR0000SETA02,142.91666666666666
2004,apparel,BLS CPI-U,CUUR0000SAA,120.43333333333334
2004,cpi_all,BLS CPI-U,CUUR0000SA0,188.88333333333333
2004,durables,BLS CPI-U,CUUR0000SAD,114.76666666666667
2004,education_communication,BLS CPI-U,CUUR0000SAE,111.58333333333333
2004,energy,BLS CPI-U,CUUR0000SA0E,151.39166666666668
2004,food,BLS CPI-U,CUUR0000SAF1,186.17499999999998
2004,household_furnishings,BLS CPI-U,CUUR0000SAH3,125.47500000000001
2004,medical_care,BLS CPI-U,CUUR0000SAM,310.1333333333333
2004,new_vehicles,BLS CPI-U,CUUR0000SETA01,137.05833333333334
2004,recreation,BLS CPI-U,CUUR0000SAR,108.625
2004,rent_primary_residence,BLS CPI-U,CUUR0000SEHA,211.025
2004,shelter,BLS CPI-U,CUUR0000SAH1,218.84166666666667
2004,transportation,BLS CPI-U,CUUR0000SAT,163.1
2004,used_cars_trucks,BLS CPI-U,CUUR0000SETA02,133.32500000000002
2005,apparel,BLS CPI-U,CUUR0000SAA,119.54166666666667
2005,cpi_all,BLS CPI-U,CUUR0000SA0,195.29166666666666
2005,durables,BLS CPI-U,CUUR0000SAD,115.25
2005,education_communication,BLS CPI-U,CUUR0000SAE,113.68333333333334
2005,energy,BLS CPI-U,CUUR0000SA0E,177.04999999999998
2005,food,BLS CPI-U,CUUR0000SAF1,190.725
2005,household_furnishings,BLS CPI-U,CUUR0000SAH3,126.09166666666665
2005,medical_care,BLS CPI-U,CUUR0000SAM,323.22499999999997
2005,new_vehicles,BLS CPI-U,CUUR0000SETA01,137.90833333333333
2005,recreation,BLS CPI-U,CUUR0000SAR,109.35000000000001
2005,rent_primary_residence,BLS CPI-U,CUUR0000SEHA,217.34166666666667
2005,shelter,BLS CPI-U,CUUR0000SAH1,224.42499999999998
2005,transportation,BLS CPI-U,CUUR0000SAT,173.90833333333333
2005,used_cars_trucks,BLS CPI-U,CUUR0000SETA02,139.44166666666666
2006,apparel,BLS CPI-U,CUUR0000SAA,119.45
2006,cpi_all,BLS CPI-U,CUUR0000SA0,201.59166666666667
2006,durables,BLS CPI-U,CUUR0000SAD,114.46666666666665
2006,education_communication,BLS CPI-U,CUUR0000SAE,116.76666666666667
2006,energy,BLS CPI-U,CUUR0000SA0E,196.85833333333335
2006,food,BLS CPI-U,CUUR0000SAF1,195.17499999999998
2006,household_furnishings,BLS CPI-U,CUUR0000SAH3,127.02499999999999
2006,medical_care,BLS CPI-U,CUUR0000SAM,336.18333333333334
2006,new_vehicles,BLS CPI-U,CUUR0000SETA01,137.58333333333334
2006,recreation,BLS CPI-U,CUUR0000SAR,110.925
2006,rent_primary_residence,BLS CPI-U,CUUR0000SEHA,225.09166666666667
2006,shelter,BLS CPI-U,CUUR0000SAH1,232.13333333333333
2006,transportation,BLS CPI-U,CUUR0000SAT,180.85833333333335
2006,used_cars_trucks,BLS CPI-U,CUUR0000SETA02,139.99166666666667
2007,apparel,BLS CPI-U,CUUR0000SAA,118.99825
2007,cpi_all,BLS CPI-U,CUUR0000SA0,207.34241666666665
2007,durables,BLS CPI-U,CUUR0000SAD,112.47341666666667
2007,education_communication,BLS CPI-U,CUUR0000SAE,119.57666666666667
2007,energy,BLS CPI-U,CUUR0000SA0E,207.72325
2007,food,BLS CPI-U,CUUR0000SAF1,202.91591666666667
2007,household_furnishings,BLS CPI-U,CUUR0000SAH3,126.8745
2007,medical_care,BLS CPI-U,CUUR0000SAM,351.05358333333334
2007,new_vehicles,BLS CPI-U,CUUR0000SETA01,136.25441666666666
2007,recreation,BLS CPI-U,CUUR0000SAR,111.44324999999999
2007,rent_primary_residence,BLS CPI-U,CUUR0000SEHA,234.67891666666665
2007,shelter,BLS CPI-U,CUUR0000SAH1,240.61058333333335
2007,transportation,BLS CPI-U,CUUR0000SAT,184.68158333333335
2007,used_cars_trucks,BLS CPI-U,CUUR0000SETA02,135.74666666666667
2008,apparel,BLS CPI-U,CUUR0000SAA,118.90691666666667
2008,cpi_all,BLS CPI-U,CUUR0000SA0,215.3025
2008,durables,BLS CPI-U,CUUR0000SAD,110.87733333333334
2008,education_communication,BLS CPI-U,CUUR0000SAE,123.63141666666667
2008,energy,BLS CPI-U,CUUR0000SA0E,236.66625
2008,food,BLS CPI-U,CUUR0000SAF1,214.10641666666666
2008,household_furnishings,BLS CPI-U,CUUR0000SAH3,127.80041666666666
2008,medical_care,BLS CPI-U,CUUR0000SAM,364.06483333333335
2008,new_vehicles,BLS CPI-U,CUUR0000SETA01,134.19366666666667
2008,recreation,BLS CPI-U,CUUR0000SAR,113.25391666666667
2008,rent_primary_residence,BLS CPI-U,CUUR0000SEHA,243.27116666666666
2008,shelter,BLS CPI-U,CUUR0000SAH1,246.66641666666666
2008,transportation,BLS CPI-U,CUUR0000SAT,195.54933333333335
2008,used_cars_trucks,BLS CPI-U,CUUR0000SETA02,133.95116666666667
2009,apparel,BLS CPI-U,CUUR0000SAA,120.07816666666668
2009,cpi_all,BLS CPI-U,CUUR0000SA0,214.537
2009,durables,BLS CPI-U,CUUR0000SAD,109.85891666666667
2009,education_communication,BLS CPI-U,CUUR0000SAE,127.39333333333333
2009,energy,BLS CPI-U,CUUR0000SA0E,193.12625
2009,food,BLS CPI-U,CUUR0000SAF1,217.95508333333336
2009,household_furnishings,BLS CPI-U,CUUR0000SAH3,128.70141666666666
2009,medical_care,BLS CPI-U,CUUR0000SAM,375.61325000000005
2009,new_vehicles,BLS CPI-U,CUUR0000SETA01,135.62341666666666
2009,recreation,BLS CPI-U,CUUR0000SAR,114.27233333333334
2009,rent_primary_residence,BLS CPI-U,CUUR0000SEHA,248.81158333333335
2009,shelter,BLS CPI-U,CUUR0000SAH1,249.35425
2009,transportation,BLS CPI-U,CUUR0000SAT,179.25241666666668
2009,used_cars_trucks,BLS CPI-U,CUUR0000SETA02,126.97275
2010,apparel,BLS CPI-U,CUUR0000SAA,119.50308333333334
2010,cpi_all,BLS CPI-U,CUUR0000SA0,218.05550000000002
2010,durables,BLS CPI-U,CUUR0000SAD,111.32433333333334
2010,education_communication,BLS CPI-U,CUUR0000SAE,129.91916666666665
2010,energy,BLS CPI-U,CUUR0000SA0E,211.44899999999998
2010,food,BLS CPI-U,CUUR0000SAF1,219.62508333333335
2010,household_furnishings,BLS CPI-U,CUUR0000SAH3,125.4895
2010,medical_care,BLS CPI-U,CUUR0000SAM,388.4356666666667
2010,new_vehicles,BLS CPI-U,CUUR0000SETA01,138.0055
2010,recreation,BLS CPI-U,CUUR0000SAR,113.31325
2010,rent_primary_residence,BLS CPI-U,CUUR0000SEHA,249.38541666666666
2010,shelter,BLS CPI-U,CUUR0000SAH1,248.39616666666666
2010,transportation,BLS CPI-U,CUUR0000SAT,193.3959166666667
2010,used_cars_trucks,BLS CPI-U,CUUR0000SETA02,143.12808333333334
2011,apparel,BLS CPI-U,CUUR0000SAA,122.11066666666666
2011,cpi_all,BLS CPI-U,CUUR0000SA0,224.93916666666667
2011,durables,BLS CPI-U,CUUR0000SAD,112.55658333333334
2011,education_communication,BLS CPI-U,CUUR0000SAE,131.46641666666667
2011,energy,BLS CPI-U,CUUR0000SA0E,243.90908333333334
2011,food,BLS CPI-U,CUUR0000SAF1,227.8415
2011,household_furnishings,BLS CPI-U,CUUR0000SAH3,124.94258333333333
2011,medical_care,BLS CPI-U,CUUR0000SAM,400.2575
2011,new_vehicles,BLS CPI-U,CUUR0000SETA01,141.88341666666668
2011,recreation,BLS CPI-U,CUUR0000SAR,113.35733333333333
2011,rent_primary_residence,BLS CPI-U,CUUR0000SEHA,253.63816666666665
2011,shelter,BLS CPI-U,CUUR0000SAH1,251.64575
2011,transportation,BLS CPI-U,CUUR0000SAT,212.36599999999999
2011,used_cars_trucks,BLS CPI-U,CUUR0000SETA02,149.0105
2012,apparel,BLS CPI-U,CUUR0000SAA,126.26458333333333
2012,cpi_all,BLS CPI-U,CUUR0000SA0,229.59391666666667
2012,durables,BLS CPI-U,CUUR0000SAD,112.79025
2012,education_communication,BLS CPI-U,CUUR0000SAE,133.84433333333334
2012,energy,BLS CPI-U,CUUR0000SA0E,246.08041666666668
2012,food,BLS CPI-U,CUUR0000SAF1,233.77733333333333
2012,household_furnishings,BLS CPI-U,CUUR0000SAH3,125.74900000000001
2012,medical_care,BLS CPI-U,CUUR0000SAM,414.9239166666666
2012,new_vehicles,BLS CPI-U,CUUR0000SETA01,144.23208333333332
2012,recreation,BLS CPI-U,CUUR0000SAR,114.70258333333334
2012,rent_primary_residence,BLS CPI-U,CUUR0000SEHA,260.3668333333333
2012,shelter,BLS CPI-U,CUUR0000SAH1,257.0835
2012,transportation,BLS CPI-U,CUUR0000SAT,217.33741666666666
2012,used_cars_trucks,BLS CPI-U,CUUR0000SETA02,150.33016666666666
2013,apparel,BLS CPI-U,CUUR0000SAA,127.41133333333333
2013,cpi_all,BLS CPI-U,CUUR0000SA0,232.95708333333334
2013,durables,BLS CPI-U,CUUR0000SAD,111.88875
2013,education_communication,BLS CPI-U,CUUR0000SAE,135.88633333333334
2013,energy,BLS CPI-U,CUUR0000SA0E,244.40949999999998
2013,food,BLS CPI-U,CUUR0000SAF1,237.03691666666668
2013,household_furnishings,BLS CPI-U,CUUR0000SAH3,124.7645
